outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,791,15764,0,26,2,481525.3,12,4.25
0,789,-1,0,25,2,66000,1,4
0,790,40060,12,33,1,257587.5,11,4.375
0,670,38060,0,36,1,208432.47,22,4.75
0,792,11244,12,24,2,444704.4,19,3.875
0,678,29820,0,36,2,191882.53,24,4.625
0,803,26420,0,19,1,64000,7,4.25
0,796,33460,0,20,1,122017.83,8,4.125
0,804,36084,0,25,2,357045.57,13,3.875
0,719,31084,0,27,1,295638.79,15,3.875
0,799,38300,0,37,2,294000,3,3.75
0,814,35614,0,23,1,335976.38,11,3.75
0,711,-1,0,39,2,84000,3,3.125
0,793,29404,0,21,2,106000,5,3.875
0,797,36260,12,9,2,96368.58,24,3.99
0,688,-1,0,49,2,98143.07,14,4.25
0,789,11540,25,22,1,9438.36,22,3.25
0,776,16300,0,40,1,112484.13,17,3.875
0,791,47300,0,39,1,110303.15,14,3.875
0,797,37340,0,21,1,110954.61,23,4.125
0,762,38060,0,21,2,143090.29,19,3.875
0,666,40340,0,33,2,124162.34,22,4.25
0,773,40140,0,47,1,131491.92,23,4
0,721,41940,0,45,1,337162.92,16,4.375
0,699,38060,0,39,2,125101.5,18,4.75
0,798,41940,0,21,1,354000,6,3.625
0,799,41940,0,33,1,67236.34,19,4.25
0,756,11244,0,35,1,608450.04,19,3.875
0,713,33874,0,29,1,325477.22,19,4
0,647,31084,0,21,2,268000,4,4.125
0,799,38900,0,36,2,159470.04,20,4.25
0,799,17140,0,24,1,280614.82,9,3.875
0,791,41700,0,43,2,55340.33,13,3.75
0,773,41740,0,34,1,132389.04,18,3.875
0,707,44700,0,43,2,392328.73,11,3
0,798,14454,25,41,2,341601.12,20,3.625
0,775,12420,0,17,1,287796.7,16,3.75
0,767,27260,25,35,2,339586.03,14,3.75
0,748,12060,0,46,1,200027.73,22,3.875
0,817,41940,0,27,2,408026.1,14,3.75
0,783,41740,0,44,1,278681.39,14,3.75
0,727,38060,30,35,2,316462.51,14,3.75
0,760,47894,0,19,2,613285.81,14,3.875
0,795,27260,0,50,2,345753.98,16,3.75
0,753,22380,0,31,2,211381.74,12,3.75
0,805,41940,0,13,2,480887.44,16,3.875
0,798,37964,25,28,1,255795.01,13,3.75
0,775,19124,30,40,2,329461.77,17,3.75
0,751,11244,0,39,1,590281.12,18,3.875
0,779,26900,0,27,1,381653.84,18,3.75
0,816,19124,6,42,1,400534.65,14,3.625
0,712,47664,12,39,1,402201.63,20,3.75
0,815,16974,12,32,1,297950.59,18,3.657
0,792,38060,0,33,1,265487.94,18,3.75
0,757,38060,0,45,2,304711.99,19,3.875
0,718,42220,12,32,2,312105.07,17,3.75
0,783,41500,12,43,1,282997.11,9,3.75
0,774,11260,0,22,1,343907.8,9,3.625
0,812,11244,0,45,2,255000,2,3.875
0,735,23104,0,47,1,271569.52,8,3.75
0,779,38060,25,33,2,348943.14,16,3.75
0,758,41620,0,50,1,318532.24,16,4.1
0,761,41620,0,41,2,469000,5,4.03
0,711,26900,30,43,1,217310.16,17,4.125
0,795,31084,0,39,1,378446.23,18,4.125
0,714,47894,0,28,1,252244.89,17,4.375
0,802,40140,25,43,1,264545.67,12,3.999
0,650,40140,0,31,2,351938.52,9,4.125
0,735,40140,0,31,1,173572.04,18,4.75
0,711,38900,0,47,2,351624.95,16,4.125
0,630,40140,0,34,2,208000,6,4.25
0,749,-1,30,10,1,56918.01,17,4.125
0,763,37100,30,45,2,325792.39,15,4.125
0,758,45300,25,41,1,162575.57,20,3.875
0,724,-1,0,43,1,146653.22,19,4.25
0,752,42020,0,46,1,442593.5,17,4
0,794,36084,0,46,1,180922.82,21,4.375
0,653,33874,0,33,2,294893.29,14,4.25
0,662,23104,25,33,2,165744.29,15,4.25
0,751,16974,0,50,2,360038.35,21,3.375
0,786,28140,0,36,2,194022.84,8,3.5
0,804,16974,25,30,2,4800,20,3.375
0,808,22380,0,37,1,149657.07,12,4.75
0,767,17140,0,20,2,177000,2,2.875
0,771,33460,12,22,1,180162.28,16,4.5
0,750,16740,25,35,1,376682.6,15,3.75
0,773,24580,25,22,2,125460.69,16,4.625
0,719,11244,0,48,2,499210.08,20,4.25
0,779,31084,6,48,2,264656.25,20,3.75
0,798,17140,0,18,2,256000,7,2.875
0,714,11244,0,49,2,338000,7,3.875
0,700,33460,30,37,1,346940.48,21,4.75
0,777,24780,0,22,2,168288.7,15,3
0,761,28140,30,26,1,124272.3,13,4
0,701,42200,0,41,1,155601.13,23,3.875
0,769,19380,0,45,1,65635.95,8,2.875
0,703,31084,0,38,1,144662.54,18,4.125
0,777,47894,25,43,2,624000,3,4.125
0,675,26420,0,34,2,151000,2,4
0,743,25180,0,29,2,173000,7,3.5
0,688,38060,0,38,1,118714.55,10,4.5
0,739,17460,0,27,1,106685.61,19,3.875
0,720,19124,0,37,1,138963.35,18,3.625
0,742,13740,0,46,2,245012.13,14,3.75
0,699,19804,30,35,1,76724.49,12,4.375
0,727,40140,0,21,2,295000,4,4.25
0,755,47664,0,25,2,176368.87,16,4.125
0,786,31084,0,34,2,237885.63,19,4.05
0,795,43524,12,33,2,361530.38,19,4.125
0,777,48424,0,30,1,406263.6,18,4.18
0,733,40380,0,43,1,97001.94,22,4.25
0,809,36084,0,29,1,415246.54,11,4.125
0,731,28420,12,28,2,198223.96,11,4.125
0,780,35614,12,35,1,526968.57,17,4.25
0,774,39300,30,32,1,389468.87,18,4.375
0,800,12060,0,38,1,148307.83,16,4.18
0,809,36084,0,26,1,529315.85,18,3.625
0,762,32820,30,33,2,383624.35,14,4.55
0,767,-1,30,39,1,130539.94,15,4.625
0,738,38060,30,34,2,243000,6,4.55
0,680,43340,0,40,1,254619.08,13,4.55
0,706,16700,30,36,1,196939.68,21,4.99
0,777,41940,0,42,1,454965.5,17,3.99
0,739,35614,25,48,2,591262.31,15,4.125
0,688,34900,0,43,2,282958.79,18,4.25
0,765,38060,30,36,1,204497.87,20,3.75
0,807,19804,0,18,1,99415.97,14,4.125
0,772,12260,30,37,2,221107.01,17,3.75
0,724,15764,0,40,1,360851.39,17,3.49
0,727,36500,0,37,1,159000,7,3.75
0,681,23104,0,36,1,126398.13,18,3.5
0,752,29820,0,38,2,124292.86,17,3.375
0,812,31084,0,39,1,156717.19,23,3.5
0,710,41940,0,41,1,396330.05,11,3.5
0,764,19124,0,21,1,120000,5,3.25
0,740,39580,0,25,2,169050.13,23,3.25
0,721,12060,12,23,1,103134.72,18,3.25
0,792,24540,0,42,2,170878.33,16,4
0,763,29820,0,21,1,136029.45,16,4.2
0,704,47894,25,24,1,604415.84,21,4.25
0,763,36084,0,44,1,321300.52,12,3.625
0,710,12420,30,29,2,223890.2,13,4.25
0,705,41740,0,48,1,437330.04,13,4.125
0,794,-1,0,27,2,322803.28,15,3.25
0,652,35614,0,39,1,282318.59,8,4.875
0,712,49340,0,18,2,392485.45,14,3.625
0,774,42644,0,38,2,312000,2,3.75
0,775,12060,0,35,2,271485.17,9,3.98
0,764,43524,0,38,1,605085.18,22,3.75
0,739,38900,0,30,1,155882.29,21,4
0,816,12940,25,31,1,167291.72,10,4.625
0,793,12060,0,19,1,395000,7,3.875
0,712,38060,0,38,2,312487.94,22,3
0,680,31084,0,44,2,352587.46,13,4.375
0,800,41700,25,24,1,124418.32,9,3.91
0,758,36084,0,32,1,312000,6,3.5
0,736,21780,12,29,2,84366.38,19,3.625
0,798,40140,0,24,1,340266.89,8,2.95
0,773,31540,0,17,2,22999.17,20,3
0,781,39540,0,39,1,135000,16,3.25
0,800,16974,0,5,1,158970.71,14,4.125
0,784,31084,0,34,2,335954.66,18,4.25
0,694,-1,0,34,2,187848.46,23,3.375
0,779,31084,0,46,2,604103.91,15,4.375
0,724,16974,25,47,2,410000,7,3.99
0,664,35840,0,44,1,108529.58,12,3.875
0,816,23104,30,28,1,169000,2,4.25
0,740,41940,0,25,2,221090.58,19,3.25
0,670,12580,0,20,1,143000,6,4.125
0,733,40660,0,35,1,370693.32,23,2.875
0,798,37100,0,48,1,374680.41,11,4.25
0,650,31084,0,38,2,253009.6,19,4.25
0,774,17900,30,46,2,124661.77,19,3.875
0,772,12420,0,28,1,388051.9,15,3.25
0,727,14454,0,41,2,380826.01,16,3.75
0,723,32900,0,13,2,117516.86,19,3.875
0,766,38060,0,29,1,129008.25,20,3.75
0,685,22744,0,26,1,60676.53,21,2.99
0,704,38060,0,11,2,343000,5,3.375
0,721,38060,12,42,1,302763.43,14,3.25
0,813,34980,0,40,2,384268.84,19,3.875
0,747,26420,0,49,2,302133.11,20,3
0,806,35614,0,37,1,180448.93,23,3.25
0,785,36540,0,13,2,298319.69,21,3
0,713,22744,0,25,1,3260.49,19,3
0,721,-1,0,11,1,180879.18,10,3.25
0,734,42644,0,42,1,476859.74,15,4
0,816,29820,0,43,2,194000,1,4.125
0,787,33460,0,26,1,168000,3,4.125
0,742,-1,0,31,2,106000,2,3.75
0,667,12060,0,28,1,49629.83,17,3.75
0,809,12420,0,48,1,37000,5,3.75
0,670,38300,12,44,2,128545.85,24,3.625
0,788,36740,25,29,1,15924.35,12,4
0,772,33340,0,31,1,126083.76,14,3.25
0,733,16974,30,45,1,191724.86,12,4.25
0,771,31084,0,28,2,515796.25,15,3.75
0,667,41940,0,22,1,522088.18,17,4.375
0,737,39580,0,6,2,138000,3,4
0,743,47894,30,38,2,369705.58,15,4.25
0,769,16700,0,36,1,173442.61,12,4.375
0,726,47894,30,37,2,250343.91,17,4
0,690,16974,25,29,2,198352.54,18,4.375
0,773,13820,30,42,2,252885.97,17,4.125
0,780,41940,0,33,1,133654.99,10,3.375
0,808,44700,0,28,1,104227.55,12,3.25
0,806,12580,0,15,2,362962.55,20,4
0,772,38900,0,40,1,407352.86,17,4.125
0,773,40900,0,37,1,264727.81,17,4.125
0,702,10740,25,35,2,234008.05,14,3.25
0,736,19124,0,42,2,262250.47,11,3.5
0,700,38060,0,48,2,205157.12,23,3.5
0,730,36084,0,50,2,277275.3,19,3.375
0,780,40140,30,37,1,276264,20,4
0,759,11244,0,46,1,289424.67,12,4.2
0,684,46700,0,27,1,207212.96,19,4
0,791,40140,0,48,1,269854.86,19,4.125
0,700,26420,0,11,1,392190.17,23,4.125
0,772,36084,0,36,2,343580.87,19,4
0,776,12420,12,44,1,164000,2,4.75
0,768,17140,0,43,2,190658.87,12,3.625
0,688,36084,0,44,2,586000,3,4.125
0,774,31084,0,33,1,706639.73,21,4.625
0,733,12420,0,27,1,152515.08,13,4.05
0,746,24860,0,44,2,205000,5,4.125
0,731,36740,0,22,2,70159.62,19,4.25
0,732,19124,30,43,1,161408.17,14,4.375
0,786,40140,0,43,1,82557.73,11,4.25
0,740,40900,30,43,2,333658.44,19,4.18
0,700,35614,25,39,2,292236.23,22,4.55
0,811,-1,0,31,2,566805.6,10,3.25
0,806,12060,0,17,1,339229.45,8,3.125
0,734,11244,0,40,2,942593.75,15,4.125
0,711,19740,0,33,2,172280.24,18,4
0,806,34980,0,31,1,149000,4,3.75
0,806,41740,0,40,1,497719.34,16,3.99
0,773,26620,0,45,1,206770.99,18,4.125
0,751,14260,30,35,2,130555.89,18,3.875
0,760,38060,0,45,2,273880.83,20,4.125
0,661,38060,0,37,2,98490.91,12,4.375
0,756,35614,0,38,2,536830.32,14,3.625
0,741,-1,0,29,2,425581.68,16,4.125
0,785,41884,0,47,2,610224.85,17,3.81
0,792,19124,25,29,1,416000,3,4.5
0,749,14500,0,42,2,160370.73,14,4.125
0,691,12060,25,44,1,362490.42,13,3.99
0,799,17140,0,42,2,123000,3,3
0,721,42020,0,43,2,406266.84,17,3.5
0,660,11244,0,45,2,608254.65,22,4.5
0,685,40140,30,42,2,353806.27,21,4.375
0,729,36420,0,42,2,96000,7,4.5
0,797,47894,12,23,2,397995.57,16,4
0,695,46700,30,25,1,148000,7,4.375
0,637,31084,0,45,1,144650.75,22,4.125
0,801,27260,0,23,1,47111.17,21,3.75
0,779,40420,0,21,1,191919.06,14,3.5
0,757,37100,0,50,1,284585.21,21,3.75
0,790,14454,0,49,1,272062.49,22,4.125
0,716,35840,25,47,2,271020.22,15,4.125
0,791,-1,0,49,1,284241.7,12,4.5
0,775,24420,0,46,2,256966.17,17,3.99
0,784,-1,30,46,1,137167.7,8,3.99
0,811,41940,0,47,2,390080.6,11,3.875
0,787,16974,0,22,2,158749.63,13,3.75
0,787,29420,0,36,2,145295.19,14,3.375
0,763,47664,30,29,1,264217.37,14,4.125
0,756,19124,0,41,1,303837.41,14,4.25
0,706,11460,12,42,2,405852.73,19,4.25
0,691,19124,0,38,1,180661.53,8,4.125
0,731,41180,0,31,1,255714.63,16,4
0,697,41180,0,41,2,376589.76,22,3.625
0,753,16974,25,43,1,307072.19,18,4.125
0,681,38900,0,24,1,230835.91,14,4.125
0,766,16974,25,43,2,374530.15,17,4.125
0,756,16974,0,22,2,406709.3,13,4
0,769,16740,0,34,1,205347.5,22,3.5
0,756,47664,0,13,2,125058.65,16,4.25
0,686,34980,0,33,1,227397.62,16,4.625
0,755,31084,0,40,1,401151.75,21,3.75
0,691,41884,0,34,2,429102.75,14,4.25
0,809,11244,0,23,2,523055.18,17,3.875
0,699,41180,0,38,1,90377.08,17,4.375
0,742,16700,0,31,1,201290.53,24,4.375
0,735,15764,0,35,2,273381.27,17,4
0,781,36084,0,41,2,441107.19,21,4.125
0,781,-1,0,18,2,73141.38,17,3.75
0,712,15764,25,31,2,304706.32,11,4.625
0,756,18580,0,35,2,185008.87,21,4.125
0,769,33340,0,43,2,160000,4,3.25
0,746,16300,25,38,1,175078.04,19,3.75
0,646,41740,0,26,2,26851.18,10,4.625
0,800,17140,25,41,1,139054.25,13,3.75
0,770,31084,0,35,1,192335.25,15,3.875
0,785,31084,0,40,1,258000,3,2.99
0,816,33340,0,43,2,231629.3,19,4.05
0,686,17020,0,45,1,222424.08,17,4
0,772,38060,0,37,2,88019.39,17,3.625
0,757,34980,0,18,2,120283.8,20,3.625
0,813,-1,0,24,1,64796.57,18,3.375
0,797,36740,0,40,2,204000,2,4
0,772,41940,0,32,1,200996.89,14,3.875
0,806,47664,0,31,1,234669.1,11,3.875
0,683,22020,0,29,2,302927.41,12,3.875
0,793,16740,0,28,2,263764.85,16,3.75
0,750,16300,0,19,2,207895.36,12,3.25
0,788,18140,0,28,1,44112.76,14,4.875
0,770,40484,25,36,1,112000,7,4.125
0,791,19804,30,34,1,147181.96,20,4.25
0,782,12420,0,37,2,226782.26,23,3.625
0,789,-1,0,41,2,190267.85,17,3.75
0,813,35100,0,27,2,134000,3,2.75
0,761,46520,0,47,1,535557.82,18,3.625
0,717,16974,0,43,2,329030.74,9,3.875
0,792,11244,0,28,2,390937,18,3.875
0,774,42644,0,25,1,229905.57,12,4.125
0,752,19340,12,27,1,156318.13,20,3.75
0,769,12020,30,22,2,119782.33,11,3.875
0,662,41740,0,34,1,411032.75,11,4.125
0,775,12260,0,34,2,106000,7,3.75
0,787,14454,0,32,2,487692.15,14,3.125
0,808,27340,0,12,2,22628.11,22,3
0,790,47664,0,28,2,60000,4,4.125
0,797,47894,0,26,2,702464.73,18,4.25
0,761,16700,30,32,2,184651.84,18,4
0,670,41700,0,42,2,294647.1,10,4.25
0,810,38060,0,39,1,16999,23,4
0,695,11244,0,34,1,478266.83,19,4.625
0,700,11244,0,39,2,535868.91,20,4.375
0,760,40900,0,36,1,78781.49,11,4.25
0,708,-1,0,41,1,2.00E+05,6,3.625
0,751,41620,0,40,2,562533.99,18,3.875
0,778,12540,0,47,1,112497.5,14,3.875
0,755,14020,30,27,1,217749.56,23,4.125
0,762,-1,0,34,2,344705.75,19,3.75
0,782,41940,0,25,1,540524.88,12,3.625
0,757,36084,0,26,2,613000,6,3.875
0,771,41940,0,39,2,563793.62,19,3.75
0,724,33780,0,24,2,261137.34,23,4.125
0,735,38540,30,39,2,269884.58,14,3.625
0,782,26300,0,18,1,158000,7,3.875
0,740,11244,25,29,2,450988.03,23,3.875
0,772,47664,12,30,2,307530,16,3.99
0,783,33460,0,35,2,114000,1,3.875
0,636,26420,0,39,1,117238.89,18,4.625
0,780,31084,0,39,1,109618.8,16,4.375
0,757,30460,0,39,1,250964.84,14,4
0,736,38060,0,38,1,135000,4,3.625
0,756,23580,12,23,2,151722.65,13,3.625
0,785,35614,25,30,1,444636.11,9,3.875
0,810,-1,0,44,2,359270.12,13,3.75
0,722,-1,30,24,2,195831.58,13,3.75
0,794,31084,0,33,1,222311.63,13,4.375
0,754,31340,0,27,1,81315.61,22,3.875
0,705,-1,25,45,2,241973.93,13,4.25
0,778,31084,0,36,1,282845.17,17,3.75
0,729,31084,0,29,2,328240.62,16,3.75
0,810,19780,0,15,2,379756.01,12,3.625
0,730,12060,25,32,1,310262.77,19,3.625
0,773,41940,0,40,1,438967.39,12,4.125
0,722,25180,0,33,1,139000,7,4
0,699,20260,0,39,2,136187.97,22,4.5
0,692,19780,25,29,2,178652.34,23,3.75
0,793,40060,0,26,2,190475.75,19,4.125
0,790,42020,25,41,2,471000,3,4.125
0,719,19124,0,39,1,114039.66,18,3.875
0,750,41884,0,42,1,603906.22,20,4.25
0,792,33874,0,22,2,310284.14,19,3.75
0,802,12060,0,26,2,126950.68,22,3.875
0,736,35084,0,20,1,78829.92,11,4
0,804,12060,0,42,2,253000,4,3.625
0,811,36084,0,31,2,401030.92,19,3.625
0,800,41180,0,28,2,224943.66,16,3.625
1,756,-1,0,42,1,80872.52,11,3.5
0,769,26980,0,30,2,144676.53,15,3.5
0,791,41180,30,28,2,55850.15,15,4.125
0,696,19124,0,40,1,404000,4,4.125
0,654,18700,30,33,1,378683.21,12,4.125
0,696,15764,0,37,2,355496.57,19,4.5
0,681,48864,30,44,2,368582.41,20,4.125
0,697,-1,30,40,1,284724.22,20,4.25
0,681,47894,0,39,1,276062.56,8,3.75
0,772,11244,0,19,2,480462.25,14,3.875
0,753,16974,0,34,2,202767.16,18,4
0,695,42644,30,45,2,377362.95,20,4.125
0,779,37100,25,38,2,434723.55,16,3.75
0,739,35614,0,30,2,315848.69,19,4
0,675,14500,0,22,1,205184.56,12,3.75
0,796,23104,30,34,1,197511.9,8,4.125
0,792,19380,30,30,1,125532.94,16,3.375
0,788,39340,0,44,1,101522.7,24,4
0,748,47894,12,22,2,457388.68,17,4.125
0,657,11244,0,36,1,346984.38,20,4.625
0,770,47894,30,30,1,116498.24,17,4.125
0,776,19124,0,50,1,341743.47,16,3.625
0,762,25540,30,39,1,238169.94,19,3.875
0,758,40900,25,35,1,197851.98,16,3.875
0,666,11244,0,45,2,572000,6,4.875
0,737,46700,0,32,2,215019.38,17,4.25
0,806,41884,25,36,1,393447.04,13,4
0,754,26900,0,40,2,125099.57,14,4
0,760,33340,0,33,2,180443.57,19,3.875
0,682,15764,0,43,1,340661.1,19,4
0,765,38900,12,44,1,230214.96,14,4
0,783,19780,30,37,1,60106.82,19,3.625
0,717,38900,25,31,1,406951.65,17,4
0,788,31084,0,15,2,525721.81,18,3.75
0,769,31084,0,40,1,315691.34,21,4.375
0,769,19740,30,30,1,215408.9,21,4.375
0,751,31084,25,28,2,401123.09,16,4.125
0,736,11244,0,46,2,485660.86,19,4.25
0,733,33340,30,32,2,342040.03,10,4.375
0,730,17780,30,26,2,173662.14,16,3.99
0,812,40220,30,43,2,129000,3,3.875
0,758,29820,0,49,1,134391.81,17,3.875
0,714,24540,0,15,2,141000,5,4.25
0,770,16700,0,39,1,1472.16,19,4.125
0,716,-1,30,43,1,252455.42,13,4.125
0,730,43524,12,43,2,190000,6,4.125
0,695,40900,0,26,1,309204.9,14,4.25
0,802,23420,0,33,1,168669.16,19,3.75
0,711,38900,0,44,1,156338.65,15,4.125
0,781,25420,25,39,1,150995.92,8,4
0,667,33460,0,26,1,145567.98,18,4.125
0,744,35840,0,48,2,97893.6,15,3.875
0,728,31084,0,42,2,438366.65,13,3.875
0,761,23420,0,11,2,323000,5,3.75
0,729,44180,30,43,1,293000,4,3.75
0,749,16974,0,33,1,188322.01,23,3.75
0,802,21140,12,25,2,207565.96,17,3.75
0,766,29460,0,32,1,347000,5,3.625
0,726,39580,30,29,1,231607.29,17,3.625
0,794,12060,0,18,1,175140.52,21,3.75
0,772,42644,0,45,2,482946.16,19,4.125
0,801,11460,0,48,2,253866.54,16,3.625
0,755,31084,0,33,1,309207.9,13,3.75
0,816,13460,0,35,1,187932.88,18,3.75
0,793,32820,0,40,2,347917.27,14,3.75
0,709,11244,0,41,1,470309.97,16,4
0,622,48424,0,38,1,116941.58,16,4.625
0,799,13900,0,19,2,140320.83,16,3.49
0,765,29200,0,31,2,57000,4,4.875
0,622,26580,0,44,2,136000,2,4.75
0,779,36084,25,30,2,536572.31,17,3.75
0,722,26420,30,25,1,172851.53,13,4.375
0,746,19740,0,26,2,230967.99,20,4.25
0,816,12060,0,44,2,270000,2,4.125
0,818,-1,0,8,1,5628.5,21,4.75
0,758,30780,0,45,2,155000,7,3.625
0,720,11244,0,36,2,545789.81,18,3.99
0,808,31084,0,41,1,537537.07,11,4.375
0,791,42644,0,38,2,501067.19,23,4.25
0,698,41940,0,24,2,446196.94,8,4.25
0,779,-1,0,42,1,61000,6,4.125
0,752,11244,0,43,2,497068.69,11,3.875
0,759,11244,0,35,1,412000,6,3.625
0,801,31084,0,32,2,555702.14,16,4.125
0,702,16974,0,40,2,367755.97,14,3.625
0,788,33460,0,28,2,226519.75,17,3.375
0,764,-1,0,34,1,119506.45,14,3.25
0,788,28140,0,15,2,64293.1,16,3.125
0,765,40140,0,44,2,273374.61,18,3
0,785,15764,0,24,2,242230.21,16,2.875
0,798,-1,0,17,2,280027,19,2.875
0,711,19124,0,32,2,150075.55,11,3.5
0,770,25540,0,45,2,227391.14,15,2.875
0,777,38060,0,18,2,320689.82,15,3.875
0,680,-1,0,40,2,55557.56,11,3.25
0,796,29200,6,38,1,136361.35,16,3.25
0,823,12580,0,25,1,161042.54,12,3.875
0,747,38900,0,32,2,9986.46,15,3.875
0,809,12060,0,25,1,324653.6,20,3.75
0,753,41180,0,33,1,210140,16,3.875
0,752,37964,0,33,1,186127.27,14,3.625
0,755,11244,0,39,2,470866.81,12,4
0,781,41740,0,29,1,438816.75,14,3.875
0,787,36084,0,39,2,373723.34,18,3.75
0,744,37100,0,41,2,430592.77,22,4
0,786,46060,0,17,1,139075.79,17,4.25
0,759,19124,0,34,2,212000,7,4
0,759,16740,0,44,1,200366.16,25,3.875
0,785,19804,0,38,1,124000,6,3.875
0,765,29820,0,26,2,267514.26,14,4.25
0,740,17140,0,33,2,297000,7,3.875
0,745,26420,0,28,2,169455.7,18,4.125
0,775,41940,0,38,2,392681.55,14,4.25
0,804,12060,0,21,1,79958.09,21,3.125
0,763,36084,0,44,1,593665,14,4.125
0,699,33124,30,38,1,324829,8,4.75
0,764,31084,0,42,1,320971.84,23,4.25
0,775,41620,0,39,1,370655.41,12,3.75
0,724,17820,0,45,2,165000,2,4.125
0,745,19740,25,32,2,256540.04,17,3.875
0,664,27740,0,38,2,79856.6,12,4.75
0,746,31084,0,45,1,476038.86,16,4
0,754,41740,0,40,1,158461.54,19,3.75
0,774,41940,30,47,1,289441.93,23,4.375
0,782,-1,0,39,2,131351.16,20,4.25
0,750,41620,0,32,2,221000,7,3.875
0,778,31084,0,40,1,222218.59,15,3.875
0,773,31084,0,35,2,240635.92,17,3.98
0,785,31084,0,17,1,441000,5,4.125
0,778,36084,0,35,2,593372.42,19,3.875
0,794,36084,0,42,2,402020.78,19,4
0,776,40140,0,29,2,364492.79,16,3.875
0,786,33124,0,41,2,233000,3,3.75
0,807,36084,0,48,1,393174.63,14,4.125
0,783,19740,0,39,1,318000,6,3.875
0,771,47894,0,37,1,401116.52,18,4
0,798,40900,0,20,2,167753.69,18,3.875
0,803,11244,0,24,2,375701.98,17,3.875
0,754,40140,0,46,1,193817.87,12,3.875
0,791,34980,0,44,1,217614.81,15,4
0,780,41620,0,12,2,286513.78,14,3.75
0,691,41740,0,45,2,455886.78,20,4.5
0,786,-1,30,38,1,84615.61,9,4
0,776,41700,6,36,1,94414.22,18,3.375
0,793,36540,0,40,2,332274.31,19,3.625
0,687,16974,30,27,2,357591.52,17,4.625
0,700,31084,0,42,1,98884.05,9,4.25
0,816,43620,0,28,1,99986.59,17,3.75
0,784,-1,0,39,2,937142.02,15,4.125
0,725,11244,25,50,1,498810.4,14,4.5
0,689,10740,0,42,1,63994.41,19,4.5
0,786,36260,25,35,2,411538.21,11,4.625
0,744,35004,0,33,2,255815.64,22,4
0,652,35004,0,33,2,340334.64,20,4.125
0,742,39900,0,38,2,197978.36,11,4.25
0,752,36260,0,48,2,189000,7,4.25
0,752,31084,0,24,2,307769.5,18,3.875
0,771,19740,25,42,1,350638.42,15,3.75
0,710,39900,0,38,2,279000,7,4.125
0,743,33460,25,20,2,408793.26,10,4.25
0,757,41884,0,37,1,490635.18,17,4.25
0,766,40900,0,42,1,247222.65,19,4
0,804,16974,30,22,2,202513.21,16,4.375
0,812,33460,0,27,1,137000,2,4.875
0,723,27260,30,32,2,209641.55,20,4.5
0,777,-1,30,45,2,283743.18,14,4.5
0,709,23104,25,44,1,342619.96,13,4.99
0,730,47664,0,29,1,218572.58,24,3.625
0,681,33860,0,28,2,318504.06,16,2.95
0,729,15804,30,45,1,131000,3,4.375
0,795,12580,0,50,2,129730.73,21,3.5
0,764,17780,0,19,1,49995.41,18,3.5
0,801,12060,0,45,1,157288.11,19,4
0,725,31084,0,37,1,299858.52,18,4.125
0,765,41740,25,45,1,307331.18,9,4.75
0,784,40484,30,50,2,290918.01,19,3.75
0,800,31140,0,36,1,121201.69,21,3.875
0,695,12940,0,44,1,154465.71,22,5
0,678,31084,0,32,2,584790.1,12,4.375
0,746,31084,12,41,2,371877.37,12,3.971
0,713,36084,0,35,2,544031.56,13,4.625
0,761,31084,0,48,2,232568.2,15,4.125
0,731,33340,0,20,1,77670.43,21,4.125
0,814,40140,25,44,1,252080.12,13,4.125
0,787,35614,0,41,1,406206.83,20,4.5
0,683,36540,0,44,1,135251.86,18,4
0,700,26420,0,35,1,82475.66,16,5.125
0,781,36084,0,30,1,586327.04,14,4.125
0,760,11244,0,35,2,548668.22,9,4.125
0,779,18580,0,22,2,203472.21,17,4
0,759,42644,0,33,1,458792.33,17,4
0,720,40900,0,24,1,277700.65,20,4
0,727,22420,0,18,2,144972.4,12,3.875
0,757,49020,0,26,2,204473.32,16,3.625
0,754,41940,0,35,1,486484.71,10,4.25
0,666,-1,0,47,1,50795.92,23,4.375
0,745,45300,30,41,1,148666.66,19,4.625
0,769,49660,0,37,2,398375.64,13,4.625
0,771,26900,0,28,2,144795.65,16,4.125
0,691,-1,0,38,2,168741.06,10,3
0,781,-1,25,36,2,185011.57,18,3.75
0,811,-1,0,18,2,10288.11,15,2.875
0,712,-1,0,28,1,50663.74,19,4.25
0,693,-1,0,26,2,242574.5,20,4.25
0,799,16974,0,25,2,161000,6,4
0,769,11700,0,45,2,327001.71,16,4
0,795,38900,0,29,1,284214.05,14,3.75
0,791,39580,0,37,1,109073.82,15,4.25
0,722,16974,0,31,1,116652.66,17,3.875
0,775,16580,0,18,2,114513.46,17,3.75
0,708,30460,0,24,1,56387.23,13,3.125
0,724,26900,0,24,1,289948.26,17,4
0,776,-1,0,47,2,93292.59,8,3.75
0,689,41180,0,38,2,356347.61,18,3.875
0,763,48900,0,40,1,60061.21,21,3.75
0,801,17900,0,19,1,317810.36,15,3.75
0,813,-1,0,45,1,207806.45,18,3
0,728,41620,30,39,1,199766.81,17,3.75
0,739,-1,30,44,1,286698.53,19,3.75
0,762,17660,0,45,2,224000,3,4.25
0,737,16974,30,45,2,272028.93,17,4.375
0,806,12060,0,36,1,353092.33,14,3.625
0,780,29404,12,20,1,228340.56,20,3.875
