outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,776,35840,0,21,2,94659.15,21,4.125
1,654,45060,0,29,1,33055.73,22,3.25
0,717,34580,30,45,2,311106.47,18,4.125
0,699,34980,30,23,2,319190.23,19,4.125
0,640,31084,0,49,1,201026.59,9,4.25
0,770,11244,0,29,2,389225.67,12,4.25
0,784,37100,0,32,2,272019.34,21,4.25
0,685,29404,0,39,1,190709.44,21,4.625
0,785,25500,0,38,2,144551.28,23,4.1
0,756,30860,0,48,1,167824.52,15,3
0,705,18140,0,40,2,179090.24,19,4
0,751,39340,0,39,2,342288.55,18,3.875
0,750,16860,0,39,1,107107.77,21,4.25
0,786,-1,30,29,2,335000,5,4.125
0,792,38900,0,33,2,224861.23,22,4.125
0,742,42200,0,29,2,329586.26,22,4.125
0,669,41940,0,48,2,396000,4,3.99
0,802,26900,0,45,2,141000,4,3.875
0,722,-1,0,42,1,82866.94,18,4.5
0,806,12260,0,36,1,24368.92,18,3.75
0,760,41620,25,41,2,418315.83,16,4.55
0,791,40900,0,19,1,164622.8,16,4.55
0,740,12060,25,25,1,280981.05,17,4.625
0,804,-1,12,14,1,195954.75,9,4.55
0,761,29820,25,30,1,264951.19,14,4.125
0,755,20260,30,42,2,130289.31,15,4.75
0,785,35840,30,31,2,228044.19,13,4.375
0,761,31084,30,34,1,409462.19,14,4.375
0,736,26900,30,38,1,103582.09,22,4.375
0,699,31084,0,27,1,349341.82,13,4.375
0,738,28140,12,45,2,244996.19,13,4.375
0,741,36084,12,21,2,599164.22,15,4.125
0,690,40140,0,31,1,159000,2,4.18
0,789,42644,0,28,2,272000,5,4.375
0,817,42220,0,48,2,181670.46,23,3.25
0,802,42644,0,19,2,466682.35,16,3.125
0,775,31084,0,34,1,331253.66,23,3.75
0,755,30860,0,10,2,108315.78,20,3.875
0,799,13380,0,50,1,218602.21,18,4.25
0,691,12580,30,41,2,318699.01,21,4.125
0,702,17460,0,31,2,244104.37,19,3.25
0,810,22420,0,35,1,77700,21,4.375
0,767,44180,0,45,1,103845.44,12,3.875
0,729,38900,12,39,1,298804.85,24,3.5
0,742,38300,0,32,2,204095.47,18,3.75
0,789,40900,0,32,1,113801.82,15,3.5
0,767,20260,0,22,2,178678.6,13,3.95
0,672,39900,0,44,1,129528.4,24,4.75
0,771,31084,0,30,2,369270.7,16,3.75
0,770,45540,0,44,2,116836.81,18,3.75
0,757,12060,0,33,2,44202.45,24,5
0,755,40900,0,44,1,316212.07,21,3.999
0,778,38940,0,41,1,171678.35,13,4
0,767,-1,0,50,1,118000,1,3.75
0,657,25540,0,36,1,250161.79,19,4.375
0,623,-1,0,36,2,60832.4,19,4
0,796,40900,0,42,1,206221.29,19,3.875
0,788,14010,0,43,1,96833.78,13,4.25
0,670,48300,0,33,1,246312.19,18,4.625
0,632,33340,0,44,1,120263.49,25,3.25
0,677,19124,0,45,2,124320.68,22,4.875
0,732,49620,0,46,2,112265.53,14,4.25
0,702,40140,12,40,1,365963.74,18,4.25
0,760,17140,0,35,1,146479.78,20,3
0,696,41180,25,36,2,241184.4,16,4.125
0,767,31084,0,36,1,139335.67,24,4.5
0,696,42020,30,32,2,292571.59,22,4.125
0,725,47664,0,45,2,211919.29,15,4.5
0,811,24340,25,36,2,180000,2,4.25
0,705,41180,30,38,2,110652.61,19,4.125
0,744,19804,0,45,1,97784.74,17,4.375
0,792,11244,0,32,1,522613.93,19,3.75
0,765,19804,0,48,2,176433.04,25,3.875
0,785,28140,0,44,1,154234.82,25,3.99
0,703,47664,0,33,2,190653.85,24,3.625
0,760,42644,0,37,2,430491.22,15,3.875
0,750,16974,0,39,1,302583.8,19,3.75
0,707,31084,0,13,1,395725.64,10,3.625
0,794,12580,0,48,2,357863.46,14,4.25
0,768,-1,12,31,2,355327.64,21,3.5
0,769,17820,0,47,2,268045.74,21,3.875
0,802,26980,0,23,2,218460.7,19,2.875
0,730,20260,30,30,2,217022.49,21,4.375
0,724,36084,0,50,1,347350.81,20,4.25
0,789,33874,0,37,2,290000,4,4.125
0,733,35614,0,44,1,455771.35,24,4
0,765,28140,30,37,2,144934.6,24,4.25
0,711,17660,25,36,1,120493.82,15,4.375
0,693,28140,0,25,2,88238.35,20,4
0,681,35084,0,45,1,223648.41,20,4.125
0,678,33874,12,31,1,264503.25,14,4.5
0,812,36084,0,48,2,439659.89,14,3.375
0,683,28660,0,24,2,145533.58,15,4.25
0,775,46140,12,29,2,257474.97,25,3.75
0,792,24340,0,42,2,114034.07,19,3.75
0,787,22020,0,18,1,88639.05,9,3.875
0,690,-1,30,32,2,91489.37,21,4.625
0,734,40140,0,25,2,264402.34,10,3.5
0,769,41740,0,37,1,453114.59,19,4.25
0,788,38060,0,41,2,165405.13,21,4.25
0,797,31140,0,44,1,89098.33,13,4.125
0,705,31084,0,43,1,255564.03,20,2.75
0,634,12420,0,33,1,109304.51,20,4.625
0,788,42644,0,35,1,369279.16,20,4
0,759,16974,25,31,1,329551.28,16,3.99
0,755,42644,0,37,1,374891.79,18,3.75
0,785,42644,0,30,1,321543.66,18,3.99
0,786,47894,0,28,1,462308.15,12,3.625
0,774,36084,0,35,1,284121.47,17,3.545
0,691,41180,0,36,2,124000,7,2.625
